header,type,class,mechanism,group,snp,Can be confirmed,Cluster_ID,Cluster_other_groups,Cluster_classes
MEG_3540|Drugs|betalactams|Class_A_betalactamases|LEN,Drugs,betalactams,Class A betalactamases,LEN,,,0,AAK; OHIO; OKP; OXA; SHV,betalactams
MEG_4239|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4240|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4241|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4242|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4243|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4244|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4245|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4246|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4247|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4248|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4249|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4250|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4251|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4252|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4253|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4254|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4255|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4256|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4257|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4258|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4259|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4260|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4261|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4262|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4263|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4264|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4265|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4266|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4267|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4268|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4269|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4270|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4271|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4272|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4273|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4274|Drugs|betalactams|Class_A_betalactamases|OKP,Drugs,betalactams,Class A betalactamases,OKP,,,0,AAK; LEN; OHIO; OXA; SHV,betalactams
MEG_4923|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA,,,0,AAK; LEN; OHIO; OKP; SHV,betalactams
MEG_6188|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6189|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6190|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6191|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6192|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6193|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6194|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6195|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6196|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6197|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6198|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6199|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6200|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6201|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6202|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6203|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6204|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6205|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6206|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6207|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6208|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6209|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6210|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6211|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6212|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6213|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6214|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6215|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6216|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6217|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6218|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6219|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6220|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6221|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6222|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6223|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6224|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6225|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6226|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6227|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6228|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6229|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6230|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6231|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6232|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6233|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6234|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6235|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6236|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6237|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6238|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6239|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6240|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6241|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6242|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6243|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6244|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6245|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6246|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6247|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6248|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6249|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6250|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6251|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6252|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6253|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6254|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6255|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6256|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6257|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6258|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6259|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6260|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6261|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6262|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6263|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6264|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6265|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6266|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6267|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6268|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
MEG_6269|Drugs|betalactams|Class_A_betalactamases|SHV,Drugs,betalactams,Class A betalactamases,SHV,,,0,AAK; LEN; OHIO; OKP; OXA,betalactams
